ANGER /// 	     &gt;( &gt;(  i'm mad and sad right now. Played so terrible today in both soccer and basketball.	
ANGER /// 	. i have found you. i no ur still mad at me  but im not mad at u.	
ANGER /// 	.. dont even bother to take it in and mark it!! and everyone else is happy coz they havent done it! it makes me mad 	
ANGER /// 	... gets frustrated when things are not as she would like, guess life just isn't fair sometimes 	
ANGER /// 	...and off he goes in an angry haste... 	
ANGER /// 	/me in need for beachvolley players. getting sad and angry. 	
ANGER /// 	@ work. I'm mad cause the weather is too nice to stay inside 	
ANGER /// 	@)(*&amp;)!*%&amp;!)#&amp;*$)!@#&amp;)*&amp;#$% = My frustration at this work PC... The little reply arrows are missing.  No me gusta stupido PCs	
ANGER /// 	@_belen i miss u  why are u mad about me? :/	
ANGER /// 	@_C_A_S_ IM MAD IT WASNT SCAREY 	
ANGER /// 	@_CrC_ I feel left out your tweeting everyone back but me  Still have mad love for you tho!! Mad show at Darien Lake...HOT HOT HOT ;)	
ANGER /// 	@_Green_Ranger aww damn you just made me realize my last update was my 100th  I was frustrated on my 100th. LAME.	
ANGER /// 	@_kimcaldwell i just saw ur message 2 me! yes popstarts u had long beautiful hair, i loved u on there and on idol! so mad when u were cut 	
ANGER /// 	@_MAXWELL_ Mad I missed your concert in Grand Rapids 	
ANGER /// 	@_melacar WHY ARE YOU MAD ? 	
ANGER /// 	@_micster Stop getting angry at me, I was only trying to spread a little love and joy. LOVE AND JOY! 	
ANGER /// 	@_nicolereyes yaseen took his phone back and i dont have your number so i cant text you and now hes gonna get mad at me 	
ANGER /// 	@_rosieCAKES awwwwwwwwww damn, it was mad chill too, a diff crowd and not as crazy... just chill and fun!! wish u came 	
ANGER /// 	@_shanika_ I tried mad torrents before I bought it...they won't install the file for the town for some reason.  I'll look 2morrow though	
ANGER /// 	@_Slamma_ Shmoe would be mad at you... not that he cares anymore 	
ANGER /// 	@1800ll i wish paula wasnt mad at me... 	
ANGER /// 	@1critic @AgentBooth is mad at us 	
ANGER /// 	@1stLady_22 why u mad at me? What I do? 	
ANGER /// 	@4evaurgirl ya they should b haha its making me mad to gosh 	
ANGER /// 	@4EverInABind Holy cow.  And I was mad about my internet not working.  that sucks.	
ANGER /// 	@510angel YOU SHOULD because I'm BORED AS FUCK. And now I'm stuck on tech for the next hour doing NOTHING on a beautiful day and I'm mad. 	
ANGER /// 	@AaL17 Aw, bummer! But at least you can re-watch it  My net disconnected 4 times  I got angry and swore 	
ANGER /// 	@abigail_x3 I can do angry  Sounds like I'll be fine. And I've still only seen one of mine 	
ANGER /// 	@AC_1 i am SO mad i missed it  and i won't get to listen next week because i'm in south dakota for basketball... bummer!	
ANGER /// 	@AdamBMusic LOL I just saw this. So mad that comments are cockblocked, I'm in the middle of reading them. 	
ANGER /// 	@ADPMuzik A. Deee . P !(in vinnys funny  voice) haha wa u sayin family! Bruv how can my laptop die ! When I'm at my peak of mkn mad beats 	
ANGER /// 	@Adribanana wish I knew! I reset it and everythingg  I think it's mad a me for not buying the new one!	
ANGER /// 	@Agent_Booth *whispers* @the_watchmaker  is strange today. He got mad at me 	
ANGER /// 	@ahayes4 I Kno Right....I Was KInda Mad About That Too 	
ANGER /// 	@aicnanime  I'm getting frustrated with the pirate situation too.	
ANGER /// 	@ajcalderon my texts I can't hear!! hahaha don't be mad 	
ANGER /// 	@AK618 BLAH maybe he recognized me and he's still mad for asking him to sign after that last game. or something. I can't see his pics. 	
ANGER /// 	@AlanCarrFan gutted forums down  that was a mad morning =|	
ANGER /// 	@AlexFraiser rofl, happened to me in first grade when my foot got stuck bet bike spikes. MAD painful. 	
ANGER /// 	@alisonpu Wouldn't change a thing .. well, maybe putting on sunblock before heading to the Coliseum .. mad burns 	
ANGER /// 	@Allyeska No, and I'm quite happy about that. Wish I'd realised before the concert though. V angry 	
ANGER /// 	@amandatramm no those were mad exclamation marks. He found out he wasn't getting to see me this weekend 	
ANGER /// 	@AmberLovesNKOTB I didn't even touch danny and donnie  BUT I got MAD Joey love	
ANGER /// 	@amorphiaapparel Frustrated with Spreadshirt! Turns out my order didn't go through, so I missed the sale, and no shirts are on their way. 	
ANGER /// 	@amymarie1001 is going to be mad at me. I knocked a half a bag of Choc Chips all over the floor of the pantry! Sorry! 	
ANGER /// 	@ananyah hey sis! Me and little man are mad sick  wife's good though! How's the uk treatin ya??	
ANGER /// 	@AnastasiaVanite Ha! I haven't in 4 months. But this is the first time she's gotten me mad in forever! 	
ANGER /// 	@and1001 Uh! Driving me mad. It's just now they've done this their 'war' is over! Yayyyyy - Iran is saved by green Twitter faces!! Not! 	
ANGER /// 	@ANGDABARBIE  don't even say dat cause ppl mad at me rite now (lol) smh	
ANGER /// 	@angelcastenada sorry, i'm just mad 	
ANGER /// 	@angelicque As someone who worked for him and knew him, it just makes me so sad and angry. He is better than this. 	
ANGER /// 	@ANGiEROSALLy AHHHH i'm Mad i'm Missing it!!! GRRR 	
ANGER /// 	@annamartins I'm going to have to give it up...took several min of frustration to send single tweet. Sorry 	
ANGER /// 	@ArmyofNightwish I'm angry that I don't live in or Finland 	
ANGER /// 	@AshDHart Ugh, I know. I'm almost there. Yay for shopping frustration 	
ANGER /// 	@ashley_eastwest OMG!!!lol she said that???!!!yeah that gets me mad to..you're not a true fan if you don't like all 5 	
ANGER /// 	@ashninaa mad late but ... it was craaazzzyyy lol we missed u baby 	
ANGER /// 	@Aspir3 I did like mad times ima slap you...I had dis b4 u now urs work betta den mine lol 	
ANGER /// 	@AstroZombie13 vicky! jake is mad at me! 	
ANGER /// 	@AtlsTrapstar but without me trap?  im mad at tht	
ANGER /// 	@atozzio u had a crazyyy song I was feeling but... I forgot the name damn I was mad 	
ANGER /// 	@atuarre I don't know tbh, it's been a mad few months so it could be anything! Tell you this though, it's bad for sleeping 	
ANGER /// 	@avengedpunk GTS you mad woman!  i want you to feel better!	
ANGER /// 	@ayubella yeah,she's mad at me cuz my exam results is bad. I've got all B. 	
ANGER /// 	@baddestjuju I'm mad I can't get none tho 	
ANGER /// 	@balancedbites Bacon and guns. Two of my fave things! I'm so mad I didn't meet u! Sucks. 	
ANGER /// 	@barbadosbeauty lol!!!!!!!!not you everyone at my job!lol I love you,im mad at you yu dont love me anymore 	
ANGER /// 	@batmanfan09 heck yes. i'm sorry about your experiences darling  my brother's angry cause i'm more high than he is. @nothilaryy thanksdude	
ANGER /// 	@bbhollogramz it was a mad man ting @mesodke told us all these stories bout the so called 'hood' smh. Had me quiverin' n shit. 	
ANGER /// 	@beastieboys So mad about tix for Thursday in Baltimore. SLOW server, finally works &amp; its sold out. Lifelong fans pissed w/ no recourse. 	
ANGER /// 	@Becky_x_x_ omg yes! i've been trying since then and they keep saying I can't vote!  I'm mad.	
ANGER /// 	@bella456 I get frustrated when she's like this. These r the times I REALLY hate her dad 	
ANGER /// 	@bevysmith nah, Mike is mad talented and didn't need to be beat...poor crazy thing 	
ANGER /// 	@bheggs1 awww the baby boy's sleeeeepyyyy. I'm mad u can't stay up 	
ANGER /// 	@billyraycyrus I CAN NOT BELIEVE THAT HE WOULD TALK ABOUT PERSONAL INFO LIKE ITS THAT EASY!! That makes me really mad. 	
ANGER /// 	@blackbarbie027 hmmmmm.... yeah and he might get mad if you close it  maybe rub the back of his head or scratch his back, that might work	
ANGER /// 	@blacksocialite i'm sooo mad at you 	
ANGER /// 	@boheme06 me and my lady friend were going to go, but she got mad sick the day before and said nevermind 	
ANGER /// 	@bonjourchelc Thats like ppl with a lot of bands tho 2.... it makes me mad 	
ANGER /// 	@Bopsicle  YAY!!...........but I'm mad at you 	
ANGER /// 	@bored369 hey, do you have yahoo? you should add me. myspace_delilah@yahoo.com  unless you're mad at me now 	
ANGER /// 	@BoSSCHiCKStEF I'm mad I hvnt seen u since I been here  LoL u go out?	
ANGER /// 	@BossMobbNelly ur boy @BossMobb got mad at me and unfollwed me  but dis real talk I'm trying to put ya on once a snitch always a snitch	
ANGER /// 	@bowwow614 im mad how im tryna watch you on ustream and my screen aint comin up... 	
ANGER /// 	@bowwow614 im mad we missed each other at the airport!! 	
ANGER /// 	@bowwow614 U b respondin2sum wack shit sometimes shorty!! I know u can't get @every1, but damn I get mad luv frm every1 but u! 	
ANGER /// 	@Boy_Kill_Boy I is angry 	
ANGER /// 	@BrandonDaBalla qeez. i`m mad evryone qettn soup`d wasted throw`d lift`d or w|e. i tried but my bruda was around &amp;&amp; he`sz soo protective 	
ANGER /// 	@brettlarson I just wanted to say i LOVE your online show and i'm really mad dtv is not letting me watch fox5 	
ANGER /// 	@bridgettebanxxx im mad u been m.I.a 	
ANGER /// 	@britt_mxgirl Yeah. I bet hes having tons of fun right now. Im mad at him cause he passed on baseball to do his girlfriend all the time. 	
ANGER /// 	@britttnicole I know!!! Hahaha, and I was so mad. He was in dc the same time I was and I missed him  ughhh. Very sad. But he's adorable.	
ANGER /// 	@broelliero Amy and I miss Bdubs  There is one but it is over an hour away, but Ward is mad that we get in n out all the time	
ANGER /// 	@brokensadly i think so too and i'm still angry that i don't get to see them. 	
ANGER /// 	@BrookeLockart I think Janetrigs is mad at me. She ignored me tonight *pouting* after I mentioned a new FF. 	
ANGER /// 	@BrooklynBJ23 lol lol awww thanks a Lot I appricate I'm so mad we didn't get to say hi last night shame on me 	
ANGER /// 	@bryceee Well... we miss you a lot  I thought you were mad because we didn't come over for the fight. Matt told me THAT night about it and	
ANGER /// 	@buckhollywood we can't play mad libs in the stupid lounge 	
ANGER /// 	@buddalunch Well I'm glade your husband made you happy!! LOL new day but still mad at my BF 	
ANGER /// 	@cactusjac laptop, 2 netbooks, a psp and my derby bag. More angry at myself in a way. Not sure what was backed up. Lost my tatt idea pics 	
ANGER /// 	@cairomayeson why r u mad at me!!  ilu	
ANGER /// 	@Cali_hypocrisy I'm mad. I'm like YOU SHOULDA DONE SOMEONE ELSE! I could have had Sing It Loud.  I don't like TFT.	
ANGER /// 	@calvinjtay SO MEAN!! my stomach is angry and hurting 	
ANGER /// 	@candydoodles hi laics, sorry wala ko ka chat sa imo.  sorry sorry sorry.  next time nalang. hope ur not mad. D:  bye! tc. ily. (;	
ANGER /// 	@CarterTwinsZach Im sorry I hope u feel better cuz I love u and it makes feel horrible when ur sick or sad or mad or hurt 	
ANGER /// 	@CashVerde I know! I'm doing mad stuff that I was supposed to do last night . Need Starbucks but I'm in the hood 	
ANGER /// 	@Catt19 super mad at u! Ignoring my calls 	
ANGER /// 	@CDSmilez just ran out!!!  it was good!!!! they be mad when we run out.	
ANGER /// 	@ChaniKai ....you aren't mad at me, are you. 	
ANGER /// 	@chelsea_playboy ok we be angry together, didn get my txt either 	
ANGER /// 	@ChetMonique lmao... cheddar biscuits!! she was like yeah, i dnt think im the one for you. he was like: what?!?  said he was hella mad.	
ANGER /// 	@chinosingson wow! you didn't invite me nga to yr party! today's the first time i heard about it &amp; now yr getting mad at me for leaving! 	
ANGER /// 	@Chip216 I'm so mad at you right now 	
ANGER /// 	@chrace21 aha i know. but he's getting mad cause there's alot of fakes of him. 	
ANGER /// 	@chrissie_ it is easier. why is some old mad talking about LJH 	
ANGER /// 	@ChrisTheEpic:  I direct messaged youuu, people get mad at me for posting to many status. lmao.	
ANGER /// 	@ChristianLous I became mad busy as usual  captivated by the Dream vs Mystics ha.. My first wmba game, wut it do!	
ANGER /// 	@chubbiee i told him and i know ur prolly gonna be mad but he promised he wouldnt tell anyone .Sorry 	
ANGER /// 	@chunkofplastic Haha they are too angry for me! And I hate that gross guttural screaming in music too, icky 	
ANGER /// 	@cjayphillips that would seriously suck.  i would of been dead if i would've crashed. the stupid thing is the guy got mad at me!	
ANGER /// 	@clarissasays i haven't gotten any since 4:00am yesterday.    i'm pretty mad.  and i haven't gotten yours at all either..  	
ANGER /// 	@CLCourtney Lol. I miss you. I wanna do that with you. oh and p.s. we had a fire at work today   but the hot fire fighters mad up for it.	
ANGER /// 	@clegg48 *stomach gargles* too much caffeine... all that coffee and energy drinks made my stummy mad 	
ANGER /// 	@clumsymouth I completely forgot about the angry pilot eating monster thing. 	
ANGER /// 	@coderedg ill try I'm mad tired 	
ANGER /// 	@compliakated kellz i made the eggs for you, you only had to wait ten mins for them, don't get that mad at me 	
ANGER /// 	@corrin37 not happy wit it at all   . i just got a dm from gerry lol hes going mad sree is still in hes so funny	
ANGER /// 	@countryvicar to my blog? How annoying, it's driving me mad on here 	
ANGER /// 	@creolepatra No she's coming next month...she has to get the seeds situated...she is so angry that you two 18th's can't get it in! 	
ANGER /// 	@CrystalChelsea :aint u a bit worried abt my health? u've bn talkin abt bla bla  nstead f wishn 2 gt wel soon. ronald's angry n sad aswel 	
ANGER /// 	@crzyicemofoer ur like the angry dad that comes home from work, and and the mom tells the kids not to bother you or they'll get belted. 	
ANGER /// 	@cunderwo because it is an accomplishment. after the 100th one, the rest go like cake. and idk if i can do it, i'm so frustrated 	
ANGER /// 	@da_evil hur.. angry guy  	
ANGER /// 	@daenvy521 YEAH IM MAD THE SEASON OVER TOO! 	
ANGER /// 	@DaKiddLoso u still mad at me 	
ANGER /// 	@DaMatrixDWI people are more angry &amp; don't always wanna hear about love &amp; being in luv, sad 	
ANGER /// 	@dancerpenguin got mad at all of us. I'm disapointed with myself. 	
ANGER /// 	@dannydiggle- I'm doing pretty good, just kind of mad b/c Twitter has stopped me from following more people until I get more followers!! 	
ANGER /// 	@Dannymcfly dont go guys  come back soon . we really like. im angry because in the stage i cant kiss u 	
ANGER /// 	@Dannymcfly dont go guys  come back soon . we really like. im angry because in the stage i cant touch u 	
ANGER /// 	@daveofquarrel  So mad I couldn't make it to this.	
ANGER /// 	@Daves_Cornbread Hope you're not mad I didn't wait. 	
ANGER /// 	@david6117 i would know she gets mad at me all the time 	
ANGER /// 	@davidlafuente MAD MEN is too distracting, I feel.  Great show, though.  But its not enough to just listen it. I know I can't 	
ANGER /// 	@DavidWalkerTV myself, need help. getting mad with earning-money-spam accoounts  it's so stupid block to each one. i'm going to continue.	
ANGER /// 	@dbaumz urrgg no i cant  i spent all my damn money on hot jam ! but u should come mad early so u can visit me first and rub it in my face	
ANGER /// 	@ddlavato Im sick and just in time for tomorrows concert.  Im sooo mad. I took some medicine hopefully I'll feel better tomorrow	
ANGER /// 	@ddlovato http://twitpic.com/3ez15 - pink *.* gosh i love your pink lips  so beautiful! what about sel demi? are you mad whit her  t ...	
ANGER /// 	@ddlovato http://twitpic.com/3ez15 - what about sel demi? are you mad whit her  that nice relationship of frendship that you have whit ...	
ANGER /// 	@ddlovato http://twitpic.com/6np19 - pink *.* gosh i love ur pink lips  so beautiful! what about sel demi? are u mad whit her  that  ...	
ANGER /// 	@ddlovato http://twitpic.com/6np19 - pink *.* gosh i love your pink lips  so beautiful! what about sel demi? are you mad whit her  t ...	
ANGER /// 	@ddlovato I'm so angry that i cant come to youre concert, Demi!!!! 	
ANGER /// 	@ddlovato I'm so mad i can't see you this year 	
ANGER /// 	@ddlovato madison is the cutest thing alivee. she doesnt need to be frustrated over paps  im sorry ur sister has to go through that&lt;3	
ANGER /// 	@DeAngeloRedman I'm Mad u not following me &amp; i alway sshow u love 	
ANGER /// 	@Deanna84_29 and I forgot to do something on them and the registrar (guy who files the docs) got mad at me  LOL	
ANGER /// 	@DebbieFletcher are you mad at me 2?  look, im so sorry. plz tell it for Tom, plz plz plz 	
ANGER /// 	@DebbieFletcher are you mad it me? i did'nt ment to hurt you/Tom so sorry 	
ANGER /// 	@DelicatelyReal i'll DM u, plz dun be mad at me, u got nuthin to do with it tara 	
ANGER /// 	@Delisa_C im very angry at this statement 	
ANGER /// 	@depping I didn't not   very frustrated with Vmware today.  the waiting is killing me	
ANGER /// 	@DisBeatIzsik  Hot mess... I'm mad im sick 	
ANGER /// 	@DJIncrediboi LOL how bout I'm mad hungry too I ended up not going!! 	
ANGER /// 	@DJWALLAH Im Mad I Wont Be Dere DIs Year 	
ANGER /// 	@DJWiLLGATES we travel in packs lol don't be mad at meeeeee! I'm deaaad tired!  Did I lose my cuffin privileges?	
ANGER /// 	@dmarie_stayfly Mad I missed you live!!!! Aaah!!! 	
ANGER /// 	@Dojie Hey come on! I still love you, we can get over you not liking dance music lol! Come on missy, don't be mad at me  xoxox	
ANGER /// 	@DonnieWahlberg ok so my bro and u were hanging in the players lounge at mohegan last night and he didnt even call me  i was mad at him!	
ANGER /// 	@DONNISMUSIC I showed you mad love this morning  &amp; no thanks? Gee donnis.	
ANGER /// 	@donwill I know you're in for red velvet &amp; cream cheese, just don't know how many! What I DO know is how mad @RM22 will be to miss it all 	
ANGER /// 	@drakemac I'm mad I have to wait 2 weeks to get my phone 	
ANGER /// 	@drdrew I'm glad to hear you're okay, I heard from @firstladyoflove that you almost had a bad night   I'm mad at them too &gt;.&lt;	
ANGER /// 	@drflibble dude I had this mad idea how we could extend the original DA concept, still not sure how to implement the sheep boat though  .	
ANGER /// 	@drink_feck_arse that requires precision aim and i don't trust myself to get it first time, i'll just make it angry 	
ANGER /// 	@DwightHoward  So i am soooo mad that i won't be able to be there to possibly see u      tear	
ANGER /// 	@DwightHoward *Sigh* Now I'm just sad my favorite baller doesn't wanna tweet me  *Note* I said SAD not MAD n re: to ur last post yesterday	
ANGER /// 	@DwightHoward good luck to ur friends!!! Cant wait for the draft, mad chicago is at the bottom of the totem pole tho 	
ANGER /// 	@DwightHoward I wish that I could be in 5 places at once..would be less tired &amp; would'nt have to worry about people being mad at me 	
ANGER /// 	@EcoChic i was mad sick   sorry i missed her party...how was it?  	
ANGER /// 	@eeepchristinaa I was so mad cuz Erics band and Lukas' band (another leader) were both playing and I missed it!! And the rock wall too.  	
ANGER /// 	@eirikoala You still haven't told me why ye is mad 	
ANGER /// 	@El_Bori_Ponce let me guess, soulsole is mad at you, and your world is breaking down, just like mine... 	
ANGER /// 	@ElizaJF is angry at me 	
ANGER /// 	@EllieSpence Then you got angry at me about something and stormed off 	
ANGER /// 	@eltorel loool u and @tamara_rj mad early!! i gotta go get ready 	
ANGER /// 	@emilybabyy2011 good job....Your dad is the really mad one right!!! 	
ANGER /// 	@EmmaGx hah no worries: I'm actually seriously angry that they've ruined a show I used to follow almost all the time 	
ANGER /// 	@enterbelladonna i dunno how to use the forum and i get frustrated with it. i'll miss talking to you on here. 	
ANGER /// 	@epikurean Yeah I'm scared  Mostly scared that when they bring my lower jaw forward it will make me look like an angry bulldog.	
ANGER /// 	@EricNorthman So mad they had you getting highlights done last night. My vision of you is much more manly than that. 	
ANGER /// 	@Erikatica Heey how r u? Yep kinda frustrated trying 2 scan a photo &amp; it keeps comin out all small I hate bein technology handicap! 	
ANGER /// 	@ethansisson I'm angry we had to leave.  ...ANGRY! You should learn to read lips and sign.	
ANGER /// 	@Evan526 happy  I deleted all of my tweets...I am sorry their website confuses me. Now you don't have to get mad at me	
ANGER /// 	@fafinettex3 lol @ fml cause mac pro is closed on sunday. i seen that on someones vid  i wouldve been mad too	
ANGER /// 	@Faithful20 i'm so mad bc i had floor seats  but my friend needed money so she sold hers..so i sold mine..dang oh well	
ANGER /// 	@fake_vyvyan well, now I'm mad at you for not even visiting me... 	
ANGER /// 	@fallenstar_ hahahaha yessssssss! wanna say it (but don't want to be murdered by angry tweeters) 	
ANGER /// 	@faSHAYnista I'm so angry I'm just seeing this. I was sleep 	
ANGER /// 	@fatherdowling Im sooooo angry both brothers didnt make it in, I was so pulling for them too. 	
ANGER /// 	@fauxhemian I am missing out on the following: Allison Janney. Janet McTeer, and apparently, LAUREN GRAHAM just went on. I am so mad. 	
ANGER /// 	@fayewhitaker omg you and me both. I went as usual and the WATERY RAGE OF AN ANGRY GOD dumped itself on me, now I have to work all soggy 	
ANGER /// 	@fearling73 also, since our DM was here today, I got called in early and had to work from 11am until 9:30pm. I was so angry. Goddammit. 	
ANGER /// 	@feeee they are,its true.  its me that I'm angry at, I'm wet and cold. 	
ANGER /// 	@felipemercado are you still angry with me? 	
ANGER /// 	@feybee Itsk I thought you were mad at me..  I don't like that.. Well neway I'm still sick laying in bed listening to Nick's vocals!! 	
ANGER /// 	@filipinophinest no im at the library unfortunately..im mad im going to miss it 	
ANGER /// 	@fleuryous I just get nervous and angry I don't hate the pens I love them and I wishhhh it wasn't a shut out 	
ANGER /// 	@floetry gutted and angry 	
ANGER /// 	@Flowsomuch I remember i had free satalite i had mad local channels, nyc chicago atlanta oakland houston i wiuld watch leno&amp;conan 2x nh 	
ANGER /// 	--@followtajh ...u be acting mad prada cuz u hang wit them pretty boys 	
ANGER /// 	@ForLondon it's beautyfulbriit and I've been at wrk since 6am I will catch y'all later  she's really mad at me but new iPhone came out...	
ANGER /// 	@FreeshKidd i'm mad at you 	
ANGER /// 	@funnybunnytoes PS-I'm very mad about missing 90's Trivia Night...stupid prepping for party! 	
ANGER /// 	@fwmj - No I was on the bus &amp; he missed it  I was staring mad hard out of shock then he smiled haha. He must have thought I was crazy!	
ANGER /// 	@galaxydazzle I don't know  stuff like that makes me angry	
ANGER /// 	@gamerbabe360 I had the same dream, but I'm waiting to tell him until we are both home. I'm sorry yours was mad 	
ANGER /// 	@gavlp yes, I hope these shocks are going to stop soon - I think I'm getting angry with Earth itself 	
ANGER /// 	@genejo im mad at myself for not making it out tonight. 	
ANGER /// 	@genirodriguez hey geni! dont get mad get glad!! lol yeah just tryin to make ya feel better with whatever it is that made you sad 	
ANGER /// 	@girlardee I remember trying Burger King's angry Whopper.  Supposed to be really hot.  Never had such a non-spicy food in my life. 	
ANGER /// 	@girlgotsole nothing watching America`s Most Wanted I miss Y0U too im mad i`m gonna miss Dlo 	
ANGER /// 	@glitteryglossy LMAO im fitna call a jihad on your azz im angry it got the nose and everything 	
ANGER /// 	@GoonAffiliated I'm mad ... I'm on Arizona time. 	
ANGER /// 	@gossy16 i am lol'ing right now thinking about it XD but yeah, zq getting mad makes me  leave him &amp; his steak friend alone! lol	
ANGER /// 	@got2lovekia u seem mad on the phone right now. 	
ANGER /// 	@GSAMZBROWNSUGA lol yeahh peeps are mad that I didnt keep it for myself  lol soooou like it?	
ANGER /// 	@gseten i know im so mad that i dont have HBO!!! so sad!  but im soooo pumped for glee to start! its hilarious! SEE YOU THIS WEEKEND! WOO!	
ANGER /// 	@gtoledo07  why were you mad at me? No she's not here ..	
ANGER /// 	@Guelsah im near giving up too  its like 11:30pm here and angry mom will be angry at me  #andyhurleyday	
ANGER /// 	@gunpla trying to get mine but there seems to be a problem connecting. Servers must be hammered like mad now. 	
ANGER /// 	@GyrlGoneBAD love you too nelly boo! and im mad i didnt get to see you when u were here  and why u gonna get me? i been good! what i do?	
ANGER /// 	@GyrlGoneBAD love you too nelly oo! and im mad i didnt get to see you when u were here 	
ANGER /// 	@hannah_kinyon I dont know. Randee was mad that everybody kept talking about it. Jordan and I miss you. Shelby hates you  Idk who else	
ANGER /// 	@hannahkin Why exactly are your parent mad at you?  Do they know about last weekend?	
ANGER /// 	@HappyHousewife @fivejs hasn't been speaking to me today. I'm beginning to think she's mad at me. 	
ANGER /// 	@happylovesChuck but I don't like it when people are mad at me. 	
ANGER /// 	@haybrianabanana haha yah,it will be mad fun&lt;333 and word,i wish i was like sin so all the boys can like me too 	
ANGER /// 	@heatherbbyyy  man i used to talk mad twitter shit.. now look at me  lol	
ANGER /// 	@helleuw WHYYYYYYYYYYYYY???? I'm actually mad about that. 	
ANGER /// 	@heymeghan I KNOW. I'M SO FREAKING MAD. i was going to ask to get it today too  FMLLLLL.	
ANGER /// 	@heymonalisa whatttt I'm kinda mad you didn't call or tell me you. 	
ANGER /// 	@HHdakota what the hell that sucks  why would her mom do that anyways? /:&lt; im mad for you...	
ANGER /// 	@hornerakg I am mad that you didn't get on the TdF team, you are one of my favorites 	
ANGER /// 	@hosman3 lmao. And dwight never showed up @adaorao  goin to bed mad	
ANGER /// 	@i_hollywood already mad it's 2 early 4 dat 	
ANGER /// 	@iamFrankBlack I just don't get it  how u mad I 'never' visit u but u haven't been to my house in years?? Ppl amaze me.	
ANGER /// 	@iammandurr Oh, ok. ughh. it's making me really mad cuz he's sending adorable tweets today too... 	
ANGER /// 	@iAmNataleigh O hes fake alright! &amp; what makes me mad is this faker has over 13K followers! 	
ANGER /// 	@IamSpectacular specc im so mad i missed it 	
ANGER /// 	@IAmtheKEE i'm mad you had ribs.....i haven't had real food in a long time.  	
ANGER /// 	@iamwaveyk noooo booo I fell asleep  I was sooo mad I was taking a &quot;nap&quot; and knocked out lol	
ANGER /// 	@icegonzales hindi naman kaaway... I'm just mad at the universe... and a bit disappointed in someone 	
